,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,7645,3932,3713,50,0,50,11967,6280,5687,515,220,295,7985,4206,3779,703,319,384,15757,8547,7210,1060,514,546
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,15707,7402,8305,348,55,293,24843,14066,10777,2945,1867,1078,5270,2968,2302,39,39,0,7163,4153,3010,465,238,227
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,11502,4374,7128,445,276,169,17825,7766,10059,892,489,403,6277,3251,3026,174,174,0,7235,4598,2637,518,518,0
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,20417,8500,11917,307,228,79,28297,15569,12728,1868,1051,817,6400,3537,2863,82,82,0,6524,4070,2454,790,570,220
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",Mohawk Valley,16123,7923,8200,733,284,449,32288,16306,15982,1276,509,767,1580,792,788,0,0,0,2584,1313,1271,428,253,175
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",Central NY,28313,14294,14019,604,604,0,35854,18750,17104,1460,461,999,1633,929,704,184,73,111,591,482,109,0,0,0
"Onondaga County (Central)--Syracuse City PUMA, New York",Central NY,11692,5872,5820,366,230,136,22060,9626,12434,1754,858,896,2103,1357,746,232,232,0,1668,996,672,229,100,129
"Onondaga County (North) PUMA, New York",Central NY,25399,12727,12672,1125,504,621,30094,15726,14368,1563,731,832,1468,575,893,0,0,0,1155,455,700,0,0,0
"Ontario & Yates Counties PUMA, New York",Finger Lakes,15803,7090,8713,468,139,329,31898,17680,14218,2007,1251,756,298,177,121,0,0,0,777,250,527,0,0,0
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",Mid-Hudson,12306,6108,6198,164,111,53,27280,15133,12147,903,565,338,1228,568,660,0,0,0,1340,408,932,0,0,0
"Orange County (Northwest) PUMA, New York",Mid-Hudson,13411,5850,7561,705,226,479,28480,15133,13347,1241,715,526,1595,519,1076,0,0,0,1991,906,1085,0,0,0
"Orange County (Southeast) PUMA, New York",Mid-Hudson,16777,7052,9725,1088,514,574,23620,12780,10840,756,525,231,1948,1185,763,85,0,85,1881,714,1167,0,0,0
"Oswego County PUMA, New York",Central NY,11540,5254,6286,222,0,222,31637,17762,13875,2922,2282,640,379,33,346,0,0,0,453,453,0,99,99,0
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",Mohawk Valley,12726,6059,6667,661,460,201,26702,14661,12041,1316,583,733,303,133,170,47,47,0,90,36,54,43,0,43
"Putnam County PUMA, New York",Mid-Hudson,17707,8906,8801,221,0,221,20187,10641,9546,1184,623,561,2621,913,1708,64,0,64,2868,1651,1217,326,74,252
"Rensselaer County--Troy City PUMA, New York",Capital Region,19126,8554,10572,478,166,312,43271,22735,20536,2212,1192,1020,1148,501,647,141,0,141,697,610,87,0,0,0
"Rockland County (North)--New City & Congers PUMA, New York",Mid-Hudson,15100,7548,7552,436,305,131,13361,7739,5622,797,506,291,3159,1355,1804,0,0,0,4217,2017,2200,0,0,0
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",Mid-Hudson,20588,10213,10375,191,122,69,13021,8090,4931,1195,700,495,2761,1476,1285,0,0,0,2029,793,1236,0,0,0
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",Mid-Hudson,8369,4065,4304,298,202,96,11201,5979,5222,627,469,158,2517,1651,866,0,0,0,5306,2729,2577,296,296,0
"Saratoga County (Outer) PUMA, New York",Capital Region,17269,8669,8600,294,173,121,28731,14954,13777,1557,1247,310,382,105,277,130,0,130,485,380,105,149,132,17
"Saratoga County (South & Central) PUMA, New York",Capital Region,25404,12233,13171,376,118,258,21217,12081,9136,937,622,315,1920,638,1282,131,0,131,1027,293,734,0,0,0
"Schenectady County--Schenectady City PUMA, New York",Capital Region,19716,8755,10961,735,35,700,33462,15695,17767,2120,1259,861,1515,988,527,0,0,0,960,608,352,110,0,110
"St. Lawrence County PUMA, New York",North Country,10614,5197,5417,592,321,271,25203,13064,12139,1639,1235,404,934,160,774,0,0,0,490,157,333,0,0,0
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,8872,3657,5215,200,70,130,29960,15385,14575,1829,851,978,0,0,0,0,0,0,68,37,31,0,0,0
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,16396,8002,8394,756,233,523,28906,16297,12609,2123,1592,531,2943,1115,1828,84,0,84,4444,2588,1856,0,0,0
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,15261,7495,7766,1187,483,704,22784,13297,9487,857,427,430,1764,889,875,0,0,0,2132,1585,547,228,84,144
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,17190,8058,9132,743,423,320,21627,12628,8999,1409,676,733,540,318,222,0,0,0,592,321,271,0,0,0
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,6849,3019,3830,318,318,0,15965,9400,6565,1963,1112,851,2869,874,1995,73,0,73,13406,7701,5705,71,15,56
"Suffolk County (East) PUMA, New York",Long Island,20739,10504,10235,667,91,576,24643,13347,11296,1165,830,335,1483,794,689,0,0,0,3981,1981,2000,146,0,146
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,18739,8705,10034,355,355,0,17090,9865,7225,689,689,0,2943,1686,1257,169,0,169,676,275,401,0,0,0
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,22025,11478,10547,924,650,274,12503,6700,5803,750,750,0,1852,1348,504,103,103,0,2050,715,1335,0,0,0
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,17915,9705,8210,204,111,93,11153,6451,4702,856,353,503,1956,1189,767,0,0,0,2220,975,1245,352,289,63
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,26532,13099,13433,1446,745,701,19962,11107,8855,788,606,182,887,597,290,33,33,0,1181,246,935,0,0,0
